f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,target
0,21,20,61,51,142,141,8,4,0,0
0,14,15,29,35,164,168,4,4,0,0
1,20,8,65,59,221,225,4,4,0,0
101,14,13,78,84,111,120,4,4,0,1
0,0,11,20,52,47,66,7,7,0,0
0,14,22,64,43,164,135,1,7,0,0
0,25,10,60,37,146,151,7,2,0,0
0,14,9,77,58,194,182,4,4,0,1
0,22,16,59,56,189,162,0,5,0,0
0,12,17,53,45,9,19,5,3,0,0
4,14,42,42,34,3,8,8,7,0,0
0,14,9,79,56,222,226,4,5,0,0
0,35,9,23,14,155,150,0,0,0,0
0,14,15,9,5,52,42,4,4,0,0
7,0,22,76,79,51,89,7,8,0,1
1,15,13,75,56,56,72,7,6,0,1
0,15,21,41,13,102,92,5,1,0,0
71,10,16,47,60,202,223,5,7,0,1
0,14,33,63,85,144,160,8,8,0,1
0,31,10,62,29,181,175,0,1,0,0
0,14,10,50,54,141,149,4,4,0,0
0,14,19,0,0,49,37,4,4,0,0
10,0,5,62,73,207,210,4,4,0,0
0,35,13,45,46,120,128,3,0,0,0
0,25,12,54,33,179,182,0,0,0,0
0,30,9,51,34,124,95,0,0,0,0
83,14,9,64,41,10,9,8,8,0,0
0,14,17,56,67,112,114,4,4,0,0
0,14,15,62,21,149,160,4,4,0,0
4,6,23,77,51,131,111,8,6,0,1
0,14,10,72,40,112,114,4,4,0,0
7,14,12,51,56,48,49,6,4,0,0
0,26,24,47,44,148,150,7,7,0,0
1,14,6,45,41,225,230,4,4,0,0
0,20,19,44,60,145,144,8,7,0,0
17,14,5,58,61,131,150,3,4,0,0
47,14,29,75,82,1,0,4,4,0,1
0,14,20,21,12,112,114,4,4,0,0
0,14,6,69,93,152,160,4,4,0,0
0,35,15,3,4,134,123,0,0,0,0
94,5,11,81,66,138,165,0,6,0,0
144,14,39,56,47,112,114,4,4,0,1
0,29,12,30,10,119,112,0,2,0,0
0,14,25,46,44,112,114,4,4,0,0
0,14,15,64,59,109,142,4,4,0,0
1,17,14,55,48,89,75,7,5,0,0
0,33,20,27,32,36,32,5,0,0,0
4,14,17,52,57,99,116,4,4,0,0
0,14,8,53,34,171,157,5,0,0,0
0,12,20,74,40,152,155,8,3,0,0
5,14,14,69,89,189,197,4,4,0,1
0,30,20,34,64,78,83,2,3,0,1
47,14,4,81,66,112,114,4,4,0,0
8,9,8,88,54,214,226,8,0,0,0
0,14,22,81,51,124,130,6,6,0,0
0,14,30,43,56,98,106,8,8,0,1
0,14,9,84,93,50,63,4,4,0,1
1,14,4,83,38,112,114,4,4,0,0
0,13,15,65,58,206,219,6,7,0,0
0,14,18,34,25,30,48,4,4,0,0
4,14,37,47,56,160,166,4,4,0,1
0,11,15,51,64,129,120,7,7,0,0
0,8,5,87,45,173,184,7,6,0,0
0,31,24,10,16,77,66,0,0,0,0
0,0,22,39,33,14,17,7,7,0,0
0,14,16,64,46,138,136,3,6,0,1
0,19,18,22,43,151,150,1,6,0,0
0,31,13,23,8,29,29,0,0,0,0
0,14,17,53,60,42,38,2,4,0,0
1,35,15,38,15,178,159,1,2,0,0
65,14,11,50,31,70,105,4,4,0,0
0,21,20,37,23,193,206,3,1,0,0
0,14,7,71,28,160,151,4,4,0,0
0,16,10,58,53,102,116,7,6,0,0
0,6,9,80,63,190,197,5,8,0,0
0,14,13,35,41,73,84,4,4,0,0
0,21,19,71,25,146,137,3,5,0,1
0,34,21,49,60,32,51,0,2,0,0
7,14,1,84,89,112,114,8,8,0,1
0,26,21,40,44,123,123,0,0,0,0
3,14,18,87,68,108,139,8,8,0,1
0,14,16,40,39,194,196,2,4,0,1
0,28,12,25,19,205,201,0,0,0,0
41,14,19,69,68,58,50,4,4,0,1
0,23,10,40,20,173,167,0,6,0,0
1,33,11,46,58,114,108,2,2,0,0
0,0,8,66,69,129,136,8,8,0,1
0,14,9,52,33,138,109,4,4,0,0
0,14,11,54,40,88,74,4,4,0,0
0,14,8,81,66,216,201,4,4,0,1
0,33,24,20,5,75,64,0,2,0,0
131,14,17,48,42,112,156,7,0,0,0
0,14,10,45,25,112,114,4,4,0,0
0,14,16,62,47,112,114,0,4,0,0
72,14,18,82,90,41,42,7,8,0,1
0,18,21,43,32,68,53,6,7,0,1
0,14,19,49,38,183,162,4,5,0,1
0,14,32,50,79,112,114,4,4,0,1
0,25,12,66,59,192,192,2,0,0,0
0,14,21,49,27,49,38,4,5,0,0
0,14,9,32,27,112,114,4,4,0,0
0,14,19,49,39,138,133,4,4,0,0
94,8,28,65,80,120,153,6,7,0,1
0,30,22,3,2,202,214,0,0,0,0
0,14,7,50,46,185,157,4,4,0,0
0,14,15,40,47,125,101,0,4,0,0
13,14,15,61,40,66,55,6,4,0,0
0,35,14,38,9,95,92,0,0,0,0
6,16,41,39,39,2,1,4,4,0,1
9,14,22,65,53,4,2,4,4,0,0
7,14,16,54,47,209,217,7,4,0,0
0,9,24,46,49,118,115,5,6,0,0
10,14,7,87,61,193,207,8,7,0,0
0,31,21,34,22,205,197,0,0,0,0
0,14,9,44,14,192,175,1,4,0,0
0,29,30,39,12,126,125,0,0,0,0
0,4,4,64,52,156,164,7,7,0,1
0,14,15,67,33,105,99,7,4,0,0
0,14,9,61,50,122,124,8,7,0,0
0,5,8,74,68,227,232,3,7,0,0
0,14,4,68,26,149,147,4,4,0,0
26,14,16,84,47,139,122,1,4,0,1
0,32,10,55,56,44,45,0,0,0,0
0,14,13,72,31,207,187,4,4,0,0
0,14,18,63,56,114,105,6,2,0,0
0,3,14,48,84,61,82,3,7,0,0
0,0,4,87,67,158,171,7,8,0,0
37,14,26,71,60,23,52,2,6,0,0
0,14,13,61,51,225,231,2,4,0,0
0,7,14,51,66,182,174,1,7,0,1
